Project,Sector,Subsector
YAPI KREDI LOAN FOR SMES AND MIDCAPS,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
EAST & CENTRAL AFRICA PEFF II FOR SMES & MIDCAPS,Banking & Financial Services,Formal sector financial intermediaries
AMEN BANK-PRETS PME & ETI,Banking & Financial Services,Formal sector financial intermediaries
ENERGY ACCESS FUND,Energy,Electric power transmission and distribution (isolated mini-grids)
SEKERBANK LOAN FOR SMES AND MIDCAPS,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
DR MICROFINANCE FACILITY II,Banking & Financial Services,Informal/semi-formal financial intermediaries
PRIVATE SECTOR DEVELOPMENT AND ECONOMIC GROWTH,Banking & Financial Services,Formal sector financial intermediaries
NICARAGUA HYDRO DEVELOPMENT AND TRANSMISSION,Energy,Electric power transmission and distribution (centralised grids)
TSKB LOAN III FOR SMES MIDCAPS AND INNOVATION,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
BRASIL LOAN FOR SMES & MIDCAPS,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
SOUTH AFRICA PRIVATE SECTOR FACILITY,Banking & Financial Services,Formal sector financial intermediaries
WADI AL ARAB WATER SYSTEM II PROJECT,Water Supply & Sanitation,Water supply - large systems
ISTANBUL UNDERGROUND RAIL NETWORK,Transport & Storage,Rail transport
IBA LOAN FOR SMES AND MID-CAPS,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
URBAN WATER SUPPLY PROGRAMME,Water Supply & Sanitation,Water supply and sanitation - large systems
BANK OF GEORGIA LOAN FOR SMES AND MID-CAPS,Banking & Financial Services,Formal sector financial intermediaries
SBI LOAN FOR SMES AND MID-CAPS,Banking & Financial Services,Formal sector financial intermediaries
GHANA FINANCIAL SECTOR LOAN III,Banking & Financial Services,Formal sector financial intermediaries
NEPAL GRID DEVELOPMENT PROGRAMME,Energy,Electric power transmission and distribution (centralised grids)
SGRS LOAN FOR SMES & OTHER PRIORITIES III,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
LAKSAM AKHAURA DOUBLE TRACK RAIL PROJECT,Transport & Storage,Rail transport
LILONGWE WATER RESOURCE EFFICIENCY PROGRAMME,Water Supply & Sanitation,Water supply - large systems
PNG RURAL BRIDGES,Transport & Storage,National road maintenance
VAKIFBANK LOAN II FOR SMES AND MIDCAPS,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
TURK TRAKTOR RDI,Other Multisector,Research/scientific institutions
ZIRAATBANK LOAN FOR SMES AND MIDCAPS II,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
GARANTI BANK LOAN FOR SMES AND MIDCAPS II,"Industry, Mining, Construction",Small and medium-sized enterprises (SME) development
ROUTE 10 RAIL REHABILITATION,Transport & Storage,Rail transport
KUTAISI WASTE WATER,Water Supply & Sanitation,Water supply and sanitation - large systems
EAST & CENTRAL AFRICA PEFF,Banking & Financial Services,Formal sector financial intermediaries
SOUTHERN AFRICA MICROFINANCE FACILITY,Banking & Financial Services,Formal sector financial intermediaries
ONEE - AMELIORATION AEP ET ASSAINISSEMENT,Water Supply & Sanitation,Water supply and sanitation - large systems
CARIBBEAN AND PACIFIC IMPACT FINANCE FACILITY,Banking & Financial Services,Formal sector financial intermediaries
OMNICANE CARBON BURN-OUT,Water Supply & Sanitation,Waste management/disposal
AFFORESTATION AND EROSION CONTROL III,"Agriculture, Forestry, Fishing",Forestry development
AFRICA RENEWABLE ENERGY FUND,Energy,"Energy generation, renewable sources - multiple technologies"
YEREVAN SOLID WASTE,Water Supply & Sanitation,Waste management/disposal
REHABILITATION WARSAK HYDROELECTRIC PROJECT,Energy,Hydro-electric power plants
EB LOAN FOR SMES & OTHER PRIORITIES III,Banking & Financial Services,Formal sector financial intermediaries
NIGERIA SECOND TIER LOAN,Banking & Financial Services,Formal sector financial intermediaries
ILLER BANK URBAN TRANSPORT AND ENVIRONMENT LOAN,Other Multisector,Multisector aid
UKRAINE AGRI-FOOD APEX LOAN,"Agriculture, Forestry, Fishing",Agricultural development
EAC MICROFINANCE FACILITY II,Banking & Financial Services,Formal sector financial intermediaries
EXIMBANK LOAN FOR SMES AND MIDCAPS II,Banking & Financial Services,Formal sector financial intermediaries
MERIDIAM INFRASTRUCTURE AFRICA FUND,Other Multisector,Multisector aid
CAIRO METRO LINE 3 (PHASE 3),Transport & Storage,Rail transport
HONDURAS SUSTAINABLE ROADS,Transport & Storage,National road maintenance
FINANSBANK LOAN FOR SMES AND MIDCAPS,Banking & Financial Services,Formal sector financial intermediaries
NEPCO GREEN CORRIDOR,Energy,Electric power transmission and distribution (centralised grids)
PROCREDIT LOAN FOR SME AND OTHER COP OBJECTIVES,Banking & Financial Services,Formal sector financial intermediaries
NEPAL POWER SYSTEM EXPANSION PROJECT,Energy,Electric power transmission and distribution (centralised grids)
CI ENERGIES NETWORK UPGRADE & ENERGY EFFICIENCY,Energy,Electric power transmission and distribution (centralised grids)
VIENTIANE SUSTAINABLE URBAN TRANSPORT,Transport & Storage,Public transport services
HALKBANK LOAN III FOR SMES MIDCAPS & PRIORITIES,Banking & Financial Services,Formal sector financial intermediaries
MOZAMBIQUE FINANCIAL SECTOR LINE OF CREDIT,Banking & Financial Services,Formal sector financial intermediaries
IDF LOAN FOR SMES & PRIORITY PROJECTS II,Banking & Financial Services,Formal sector financial intermediaries
FNB ZAMBIA FACILITY FOR SMES AND MIDCAPS,Banking & Financial Services,Formal sector financial intermediaries
ISBANK LOAN FOR SMES AND MIDCAPS,Banking & Financial Services,Formal sector financial intermediaries
UKRAINE MUNICIPAL INFRASTRUCTURE PROGRAMME,Other Multisector,Multisector aid
TUBITAK RESEARCH PROMOTION II,Other Multisector,Research/scientific institutions
FEMIP SUSTAINABLE ENERGY FACILITY,Banking & Financial Services,Formal sector financial intermediaries
ACTIVITIES AGGREGATED FOR CONFIDENTIALITY REASONS,Unallocated / Unspecified,Sectors not specified
